endTime,artistName,trackName,msPlayed
2020-08-25 00:21,DOS,Lucid Dreams,348444
2020-08-25 00:29,George FitzGerald,Burns - DJ Seinfeld Remix,431375
2020-08-25 00:35,DOS,Red Moon,366000
2020-08-25 00:43,Prostitune,Money Nugget,464509
2020-08-25 01:58,Floating Points,Ratio - Edit,140498
2020-08-25 02:01,Nikita Karmen,Then Some (feat. Walker Hayes),183207
2020-08-25 02:08,Leon Vynehall,Butterflies,449266
2020-08-25 02:09,Nikita Karmen,The Start of the End,30023
2020-08-25 17:08,Cocteau Twins,Pink Orange Red,116
2020-08-25 17:13,Cocteau Twins,Pink Orange Red,282866
2020-08-25 17:16,Cocteau Twins,Crushed,200200
2020-08-25 17:20,Pale Saints,Kinky Love,244240
2020-08-25 17:21,The Jesus and Mary Chain,Just Like Honey,1114
2020-08-25 17:21,Beach House,Master of None,917
2020-08-25 17:25,Ariel Pink,Another Weekend,254520
2020-08-25 17:29,Slowdive,Alison,213210
2020-08-25 17:32,Slowdive,40 Days,184668
2020-08-25 17:36,Slowdive,When the Sun Hits,285906
2020-08-25 17:37,Slowdive,Altogether,36038
2020-08-25 17:43,Slowdive,Souvlaki Space Station,357373
2020-08-25 17:47,Slowdive,Machine Gun,266706
2020-08-25 17:51,Slowdive,Alison,230986
2020-08-25 17:56,Slowdive,When the Sun Hits,284113
2020-08-25 18:03,George FitzGerald,Burns - DJ Seinfeld Remix,431375
2020-08-25 18:07,George FitzGerald,Burns,253998
2020-08-25 18:11,Cocteau Twins,Ribbed and Veined,232996
2020-08-25 18:17,DOS,Lucid Dreams,348444
2020-08-25 18:23,DOS,Need U,357826
2020-08-25 18:29,DOS,Red Moon,366000
2020-08-25 18:32,George FitzGerald,Burns - DJ Seinfeld Remix,161949
2020-08-25 18:36,Sky Ferreira,Everything Is Embarrassing,249906
2020-08-25 18:36,Sky Ferreira,Heavy Metal Heart,4620
2020-08-25 18:40,Sky Ferreira,Everything Is Embarrassing,249906
2020-08-25 18:41,Sky Ferreira,Heavy Metal Heart,14071
2020-08-25 18:44,DIIV,Doused,222973
2020-08-25 18:46,DIIV,Blankenship,81822
2020-08-25 18:50,DIIV,Bent (Roi's Song),280636
2020-08-25 23:31,Phuong Anh,Chuyện Tình Người Đan Áo,139
2020-08-25 23:33,Phuong Anh,Người Đi Ngoài Phố,100728
2020-08-25 23:38,Phuong Anh,Con Đường Xưa Em Đi,300000
2020-08-25 23:38,Phuong Anh,Chuyện Tình Người Đan Áo,3843
2020-08-25 23:55,Phuong Anh,Con Đường Xưa Em Đi,299932
2020-08-26 05:06,DOS,Red Moon,343910
2020-08-26 05:15,George FitzGerald,Burns,5252
2020-08-26 05:15,George FitzGerald,Burns - DJ Seinfeld Remix,431375
2020-08-26 05:22,George FitzGerald,Burns,9826
2020-08-26 05:22,George FitzGerald,Burns - DJ Seinfeld Remix,431375
2020-08-26 05:31,Jacques Greene,Do It Without You,212582
2020-08-26 05:31,Amtrac,No Place (feat. Lali Puna) - Jacques Greene Remix,35719
2020-08-26 05:35,Jacques Greene,Serenity,239368
2020-08-26 05:38,Jacques Greene,Drop Location,169892
2020-08-26 05:42,Jacques Greene,Do It Without You,212582
2020-08-26 06:51,Jacques Greene,Night Service,2948
2020-08-26 06:58,Teedra Moses,Be Your Girl,14483
2020-08-26 06:58,Peggy Gou,Starry Night - Original Mix,398598
2020-08-26 07:06,Washed Out,Before,390524
2020-08-26 07:07,Washed Out,Haunt,61567
2020-08-26 07:08,Washed Out,Reckless Desires,44210
2020-08-26 07:22,Washed Out,Paralyzed,178410
2020-08-26 20:34,Phuong Anh,Con Đường Xưa Em Đi,300000
2020-08-26 20:34,Phuong Anh,Đoạn Tuyệt,20156
2020-08-26 20:50,Phuong Anh,Con Đường Xưa Em Đi,284049
