endTime,artistName,trackName,msPlayed
2020-09-12 21:46,Bicep,Glue,269149
2020-09-12 21:56,Bicep,Glue,543463
2020-09-12 22:41,Sebastian Böhm,Blue Monday,211434
2020-09-12 22:47,Above & Beyond,Blue Monday (Big Bang) [WYM303],338704
2020-09-13 01:11,Bicep,Glue,269149
2020-09-13 01:16,Bicep,Vale,297380
2020-09-13 02:34,Bicep,Opal - Four Tet Remix,47055
2020-09-13 03:49,Bicep,Atlas,268841
2020-09-13 03:54,The Casual Arson Radio Hour,Tame Impala - Borderline (Single Version),274343
2020-09-13 03:54,Tame Impala,Borderline,6883
2020-09-13 03:58,Tame Impala,The Less I Know The Better,216320
2020-09-13 04:02,Calvin Harris,Slide (feat. Frank Ocean & Migos),230813
2020-09-13 04:05,OTHERLiiNE,Hates Me - Jacques Greene Remix,18920
2020-09-13 04:05,Mark Morrison,Return of the Mack,213093
2020-09-13 04:09,letherette,Maybe,195825
2020-09-13 04:13,Nohidea,promissory note,11165
2020-09-13 04:13,Justice,D.A.N.C.E,242266
2020-09-13 04:16,Disclosure,Magnets,196812
2020-09-13 04:17,RAC,We Belong - Odesza Remix,0
2020-09-13 04:20,Childish Gambino,Summertime Magic,213600
2020-09-13 07:15,Childish Gambino,Feels Like Summer,503966
2020-09-13 07:18,Childish Gambino,Summertime Magic,213600
2020-09-13 07:20,Childish Gambino,Feels Like Summer,92113
2020-09-15 03:51,Slowdive,Alison,232733
2020-09-15 03:56,Slowdive,Machine Gun,268680
2020-09-15 03:59,Slowdive,40 Days,195573
2020-09-15 04:04,Slowdive,Sing,291453
2020-09-15 04:09,Slowdive,When the Sun Hits,287933
2020-09-15 04:15,Slowdive,Souvlaki Space Station,359373
2020-09-15 04:16,Slowdive,Machine Gun,59597
2020-09-15 04:17,Slowdive,When the Sun Hits,70124
2020-09-15 04:20,Slowdive,40 Days,195573
2020-09-15 04:25,Slowdive,Sing,291453
2020-09-15 04:27,Slowdive,Here She Comes,139706
2020-09-15 04:34,Slowdive,Souvlaki Space Station,359373
2020-09-15 04:38,Slowdive,When the Sun Hits,287933
2020-09-15 04:40,Slowdive,Altogether,94938
2020-09-15 18:14,Slowdive,Alison,232733
2020-09-15 18:18,Slowdive,Machine Gun,268680
2020-09-15 18:22,Slowdive,40 Days,195573
2020-09-15 18:26,Slowdive,Sing,278112
2020-09-15 18:26,Slowdive,Here She Comes,1787
2020-09-15 18:26,Slowdive,Souvlaki Space Station,3390
2020-09-15 18:29,Slowdive,40 Days,192191
2020-09-15 18:33,Slowdive,Alison,232733
2020-09-15 18:35,Slowdive,Machine Gun,83824
2020-09-15 18:38,Childish Gambino,Summertime Magic,213600
2020-09-15 18:39,Childish Gambino,Feels Like Summer,35434
2020-09-15 18:43,Mac Miller,Fight the Feeling,268167
2020-09-15 18:48,Title Fight,Dizzy,261466
2020-09-15 18:51,DIIV,Doused,222973
2020-09-15 18:55,Jacques Greene,Do It Without You,190934
2020-09-15 19:41,Tennis,10 Minutes 10 Years,189939
2020-09-15 19:46,Mac Miller,Fight the Feeling,272648
2020-09-15 19:46,Title Fight,Dizzy,4760
2020-09-15 19:51,Nas,Life's a Bitch (feat. AZ & Olu Dara),280845
2020-09-15 19:54,Nas,Life's a Bitch (feat. AZ & Olu Dara),176494
2020-09-15 19:57,SZA,Julia,219642
2020-09-15 20:03,Gang Starr,Mass Appeal,166214
2020-09-15 23:37,Slowdive,Alison,237145
2020-09-15 23:41,Slowdive,Machine Gun,268680
2020-09-15 23:44,Slowdive,40 Days,185525
2020-09-15 23:49,Slowdive,Sing,291453
2020-09-15 23:49,Slowdive,Here She Comes,4554
2020-09-15 23:55,Slowdive,Souvlaki Space Station,359373
2020-09-16 00:00,Slowdive,When the Sun Hits,287933
2020-09-16 00:01,Slowdive,Altogether,50708
2020-09-16 00:04,Jacques Greene,Do It Without You,212582
2020-09-16 00:07,Jacques Greene,Drop Location,169892
2020-09-16 00:12,Jacques Greene,Sibling,255028
2020-09-16 00:17,Caribou,Never Come Back,305480
2020-09-16 00:20,KAYTRANADA,Taste,217320
2020-09-16 00:23,KAYTRANADA,Freefall,181160
2020-09-16 00:27,KAYTRANADA,The Worst In Me,226720
2020-09-16 00:31,Dua Lipa,Don’t Start Now (Kaytranada Remix),267253
2020-09-16 00:35,KAYTRANADA,GOT IT GOOD,228146
2020-09-16 00:40,KAYTRANADA,DRIVE ME CRAZY,277786
2020-09-16 00:45,KAYTRANADA,GLOWED UP,298026
2020-09-16 00:49,Dua Lipa,Don’t Start Now (Kaytranada Remix),262138
2020-09-16 00:53,Jacques Greene,Sel,5433
2020-09-16 00:53,Jacques Greene,Night Service,952
2020-09-16 00:53,KAYTRANADA,DYSFUNCTIONAL,196069
2020-09-16 00:53,FKA twigs,mary magdalene,371
2020-09-16 00:57,FKA twigs,holy terrain,243000
2020-09-16 01:02,FKA twigs,mary magdalene,321066
2020-09-16 01:07,Blood Orange,Always Let U Down,313546
2020-09-16 01:10,Blood Orange,High Street,178040
2020-09-16 01:13,Blood Orange,Chamakay,162567
2020-09-16 18:42,FKA twigs,fallen alien,37560
2020-09-16 18:42,Blood Orange,Chamakay,264516
2020-09-16 18:50,Blood Orange,You're Not Good Enough,468853
2020-09-16 18:53,Blood Orange,High Street,178040
2020-09-16 19:00,Blood Orange,Chosen,404480
2020-09-16 19:05,Blood Orange,It Is What It Is,307400
2020-09-16 19:08,Blood Orange,Clipped On,190906
2020-09-16 19:10,Blood Orange,Uncle ACE,124254
2020-09-16 20:34,Washed Out,Too Late,252409
2020-09-16 20:34,Washed Out,Time to Walk Away,21805
2020-09-16 20:38,Washed Out,Paralyzed,201245
2020-09-16 20:42,Washed Out,Reckless Desires,264269
2020-09-16 20:44,Calvin Harris,Over Now (with The Weeknd),88106
2020-09-16 20:49,Dua Lipa,Don’t Start Now (Kaytranada Remix),294631
2020-09-16 20:52,KAYTRANADA,GOT IT GOOD,228146
2020-09-16 20:54,Washed Out,Game of Chance,14483
2020-09-17 03:51,Phuong Anh,Con Đường Xưa Em Đi,300000
2020-09-17 03:54,Phuong Anh,Hoa Nở Về Đêm,1648
2020-09-17 03:54,Slowdive,Alison,207599
2020-09-17 03:58,Slowdive,40 Days,186874
2020-09-17 04:02,Slowdive,When the Sun Hits,276526
2020-09-17 04:08,Slowdive,Alison,232733
2020-09-17 04:12,Slowdive,Machine Gun,250218
2020-09-17 04:16,Jacques Greene,Do It Without You,201897
2020-09-17 04:20,Jacques Greene,Do It Without You,191680
2020-09-17 04:24,Jacques Greene,Sibling,264100
2020-09-17 04:27,Jacques Greene,Do It Without You,175812
2020-09-17 04:31,Washed Out,Too Late,252409
2020-09-17 04:32,Washed Out,Time to Walk Away,54104
2020-09-17 04:35,Washed Out,Paralyzed,201245
2020-09-17 04:40,Washed Out,Don't Go,1184
2020-09-17 04:40,Washed Out,Leave You Behind,626
2020-09-17 04:40,Washed Out,Reckless Desires,264269
2020-09-17 04:40,Washed Out,Game of Chance,3528
2020-09-17 04:43,Washed Out,Hide,207781
2020-09-17 04:49,Washed Out,Haunt,310413
2020-09-17 04:53,Washed Out,Echoes,248200
2020-09-17 04:58,Washed Out,Before,286413
2020-09-17 05:01,Wild Nothing,Chinatown,198842
2020-09-17 05:05,Wild Nothing,Partners in Motion,260693
2020-09-17 05:08,Wild Nothing,My Angel Lonely,178324
2020-09-17 05:13,Grimes,REALiTi (Demo),267130
2020-09-17 05:18,DOS,Lucid Dreams,317553
2020-09-17 16:52,Beach House,Space Song,320466
2020-09-17 16:52,Beach House,Beyond Love,6005
2020-09-17 16:58,Beach House,Levitation,342958
2020-09-17 17:02,Sky Ferreira,Everything Is Embarrassing,249906
2020-09-17 17:02,Charli XCX,Cross You Out (feat. Sky Ferreira),2574
2020-09-17 17:06,Sky Ferreira,Everything Is Embarrassing,238004
2020-09-17 23:23,Sky Ferreira,Everything Is Embarrassing,249906
2020-09-17 23:23,Charli XCX,Cross You Out (feat. Sky Ferreira),26235
2020-09-17 23:29,DIIV,Bent (Roi's Song),340366
2020-09-17 23:34,DIIV,Take Your Time,298348
2020-09-17 23:37,DIIV,Valentine,197889
2020-09-17 23:41,DIIV,Sometime,185600
2020-09-17 23:44,DIIV,Doused,219433
2020-09-17 23:48,DIIV,Blankenship,236746
2020-09-17 23:53,DIIV,Taker,268800
2020-09-17 23:57,DIIV,Skin Game,265466
2020-09-18 00:01,DIIV,For the Guilty,219573
2020-09-18 00:05,DIIV,The Spark,239213
2020-09-18 00:09,DIIV,Lorelei,238720
2020-09-18 00:13,DIIV,Blankenship,236746
2020-09-18 00:18,DIIV,Bent (Roi's Song),340366
2020-09-18 00:19,DIIV,Out of Mind,32026
2020-09-18 00:22,Nas,Life's a Bitch (feat. AZ & Olu Dara),210840
2020-09-18 00:28,Nas,One Love (feat. Q-Tip),325653
2020-09-18 00:29,Nas,The World Is Yours,46743
2020-09-18 00:34,Mobb Deep,"Shook Ones, Pt. II",325506
2020-09-18 00:38,Mobb Deep,Survival of the Fittest,224533
2020-09-18 00:39,Mobb Deep,"Shook Ones, Pt. II",68445
2020-09-18 00:43,KAYTRANADA,GOT IT GOOD,228146
2020-09-18 00:46,KAYTRANADA,TOGETHER,197240
2020-09-18 00:51,KAYTRANADA,DRIVE ME CRAZY,277786
2020-09-18 00:51,KAYTRANADA,WEIGHT OFF,3154
2020-09-18 00:56,KAYTRANADA,GLOWED UP,298026
2020-09-18 00:57,KAYTRANADA,YOU'RE THE ONE,83488
2020-09-18 01:00,KAYTRANADA,Freefall,181160
2020-09-18 01:04,KAYTRANADA,The Worst In Me,226720
2020-09-18 01:07,KAYTRANADA,Vex Oh (feat. Eight9FLY),160101
2020-09-18 01:10,KAYTRANADA,10%,183321
2020-09-18 01:13,Vince Staples,Norf Norf,183160
2020-09-18 01:17,Vince Staples,745,227560
2020-09-18 01:22,Vince Staples,Yeah Right,188946
2020-09-18 01:25,Vince Staples,Party People,178506
2020-09-18 01:28,Vince Staples,BagBak,160506
2020-09-18 01:32,Vince Staples,Big Fish,198133
2020-09-18 01:35,Vince Staples,Limos,212360
2020-09-18 01:39,Vince Staples,Blue Suede,218040
2020-09-18 01:41,Vince Staples,Feels Like Summer,149026
2020-09-18 01:45,Aminé,"Pressure In My Palms (feat. slowthai, Vince Staples)",237500
2020-09-18 01:46,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",62406
2020-09-18 01:48,Aminé,"Pressure In My Palms (feat. slowthai, Vince Staples)",121811
2020-09-18 07:21,Vince Staples,Home,27340
2020-09-18 07:21,Aminé,"Pressure In My Palms (feat. slowthai, Vince Staples)",268654
2020-09-18 07:27,Cocteau Twins,Orange Appled,329282
2020-09-18 07:30,Cocteau Twins,Blind Dumb Deaf,789
2020-09-18 07:30,Cocteau Twins,Crushed,200200
2020-09-18 07:35,Cocteau Twins,Pink Orange Red,282866
2020-09-18 07:40,Beach House,Space Song,302588
2020-09-18 18:29,Cocteau Twins,Orange Appled,169960
2020-09-18 18:31,Cocteau Twins,Evangeline,147237
2020-09-18 18:35,Cocteau Twins,Crushed,200200
2020-09-18 18:37,Cocteau Twins,"Sea, Swallow Me",157593
2020-09-18 18:42,Cocteau Twins,Pink Orange Red,282866
2020-09-18 18:45,Cocteau Twins,Cherry-coloured Funk,192466
2020-09-18 18:50,Cocteau Twins,Heaven Or Las Vegas,298400
2020-09-18 18:53,Cocteau Twins,Fifty-fifty Clown,190213
2020-09-18 18:55,Cocteau Twins,Sugar Hiccup,76927
2020-09-18 19:03,Washed Out,Too Late,311031
2020-09-18 19:07,Washed Out,Echoes,248200
2020-09-18 19:08,Washed Out,Amor Fati,68752
2020-09-18 19:14,Washed Out,Before,286413
2020-09-18 19:14,Washed Out,You and I,1165
2020-09-18 19:17,Washed Out,Feel It All Around,192080
2020-09-18 19:19,Washed Out,Too Late,137538
2020-09-18 20:52,Blood Orange,CALL ME (Freestyle),24868
2020-09-19 01:36,Slowdive,40 Days,195573
2020-09-19 01:45,Slowdive,Alison,232733
2020-09-19 01:50,Slowdive,Sing,291453
2020-09-19 01:57,Slowdive,When the Sun Hits,287933
2020-09-19 02:03,Slowdive,Souvlaki Space Station,359373
2020-09-19 02:07,Slowdive,In Mind - Single Version,226026
2020-09-19 02:11,Cocteau Twins,Crushed,200200
2020-09-19 02:15,Cocteau Twins,Pink Orange Red,282866
2020-09-19 02:18,Cocteau Twins,Orange Appled,169960
2020-09-19 02:23,Slowdive,Sing,291453
2020-09-19 02:25,Slowdive,Here She Comes,139706
2020-09-19 03:39,Slowdive,Souvlaki Space Station,239685
2020-09-19 03:43,Blood Orange,Chewing Gum,263869
2020-09-19 03:47,Blood Orange,You're Not Good Enough,261360
2020-09-19 03:50,Blood Orange,Dark & Handsome,153750
2020-09-19 03:54,Blood Orange,Chamakay,260106
2020-09-19 03:57,Blood Orange,Clipped On,190906
2020-09-19 04:04,Blood Orange,Chosen,404480
2020-09-19 04:35,Blood Orange,Always Let U Down,313546
2020-09-19 04:38,Blood Orange,High Street,178040
2020-09-19 04:43,Tei Shi,Even If It Hurts,251053
2020-09-19 04:48,Solange,Bad Girls - Verdine Version,310546
2020-09-19 04:51,New Order,Age of Consent - 2015 Remaster,17740
2020-09-19 04:51,Blood Orange,Hope,177829
2020-09-19 04:55,Grizzly Bear,Two Weeks,243160
2020-09-19 05:00,New Order,Bizarre Love Triangle,263213
2020-09-19 05:03,Joy Division,Love Will Tear Us Apart - 2010 Remaster,204621
2020-09-19 05:08,MGMT,Me and Michael,289853
2020-09-19 05:11,Tennis,I Miss That Feeling,202133
2020-09-19 05:14,New Order,Age of Consent - 2015 Remaster,181098
2020-09-19 19:53,New Order,Age of Consent - 2015 Remaster,316285
2020-09-19 19:57,Nightstop,Neoromancer,696
2020-09-19 19:57,Jay Som,Baybee,216785
2020-09-19 19:57,Nightstop,Virtual Sexuality,13537
2020-09-19 20:01,Alina Baraz,Unfold,272142
2020-09-19 20:05,Mac DeMarco,Chamber Of Reflection,231723
2020-09-19 20:10,Lorde,A World Alone,294222
2020-09-19 20:17,The xx,Sunset (Jamie xx Edit),377623
2020-09-19 20:17,Four Tet,Lion - Jamie XX Remix,26775
2020-09-19 20:18,SZA,Wavy (Interlude) (feat. James Fauntleroy),75800
2020-09-19 20:20,SZA,Supermodel,114753
2020-09-20 21:06,Slowdive,Sing,291453
2020-09-20 21:06,Slowdive,Here She Comes,10313
2020-09-20 21:10,Slowdive,Alison,232733
2020-09-20 21:15,Slowdive,Machine Gun,268680
2020-09-20 21:18,Slowdive,40 Days,195573
2020-09-20 21:24,Slowdive,Souvlaki Space Station,359373
2020-09-20 21:29,Slowdive,When the Sun Hits,287933
2020-09-20 21:32,Slowdive,In Mind - Single Version,226026
2020-09-20 21:37,Washed Out,Too Late,252409
2020-09-20 21:41,Washed Out,Reckless Desires,264269
2020-09-20 21:46,Washed Out,Haunt,310413
2020-09-20 21:52,Soccer Mommy,bloodstream,337426
2020-09-20 21:56,Soccer Mommy,circle the drain,280213
2020-09-20 22:01,Soccer Mommy,royal screw up,247893
2020-09-20 22:05,Soccer Mommy,night swimming,256973
2020-09-20 22:31,Soccer Mommy,crawling in my skin,257733
2020-09-20 22:34,Soccer Mommy,yellow is the color of her eyes,179464
2020-09-20 22:37,Soccer Mommy,up the walls,164320
2020-09-20 22:41,Soccer Mommy,stain,7198
2020-09-20 22:41,Soccer Mommy,gray light,139
2020-09-20 22:41,Slowdive,40 Days,18599
2020-09-20 22:41,Soccer Mommy,lucy,235992
2020-09-20 22:46,Washed Out,Before,286413
2020-09-20 22:50,Washed Out,Echoes,248200
2020-09-20 22:53,Washed Out,Paralyzed,201245
2020-09-20 22:56,Washed Out,Olivia,145742
2020-09-20 23:26,Washed Out,You and I,13130
2020-09-20 23:31,Phuong Anh,Con Đường Xưa Em Đi,300000
2020-09-20 23:31,Phuong Anh,Đoạn Tuyệt,15559
2020-09-21 06:10,Phuong Anh,Đoạn Tuyệt,8335
2020-09-21 06:14,Jacques Greene,Do It Without You,212582
2020-09-21 06:24,Jacques Greene,Quicksand,173828
2020-09-21 06:26,Grimes,Violence - Original Mix,125712
2020-09-21 06:35,Grimes,Realiti,224491
2020-09-21 06:36,The Casual Arson Radio Hour,Tame Impala - Borderline (Single Version),66641
2020-09-21 18:02,Beach House,Sparks,232
2020-09-21 18:07,Beach House,Sparks,321133
2020-09-21 18:12,Beach House,Space Song,320466
2020-09-21 18:14,Beach House,Beyond Love,61059
2020-09-21 18:18,Beach House,Myth,258653
2020-09-21 18:20,Beach House,Take Care,142784
2020-09-21 18:23,Title Fight,Murder Your Memory,156720
2020-09-21 18:23,Title Fight,Symmetry,6643
2020-09-21 18:27,Title Fight,Your Pain Is Mine Now,243786
2020-09-21 18:31,Title Fight,Dizzy,261466
2020-09-21 18:35,Interpol,Untitled,236666
2020-09-21 18:40,Interpol,NYC,259373
2020-09-21 18:43,Interpol,Hands Away,185626
2020-09-21 18:45,Title Fight,Murder Your Memory,156720
2020-09-21 18:45,Title Fight,Symmetry,0
2020-09-21 18:49,Drab Majesty,Oxytocin,235760
